image,label
norm\0000_120.png,0
norm\0000_140.png,0
norm\0000_160.png,0
norm\0001_100.png,0
norm\0001_120.png,0
norm\0001_80.png,0
norm\A0196632X_20220823_normal_0832_340.png,0
norm\A0196632X_20220823_normal_1787_180.png,0
norm\A0196632X_20220823_normal_1787_200.png,0
norm\A0196632X_20220823_normal_1787_240.png,0
norm\A0196632X_20220823_normal_1787_260.png,0
norm\A0196632X_20220823_normal_1787_280.png,0
norm\A0196632X_20220823_normal_1787_300.png,0
norm\A0196632X_20220823_normal_1787_320.png,0
norm\A0196632X_20220823_normal_1787_340.png,0
norm\A0196632X_20220823_normal_1787_360.png,0
norm\A0196632X_20220823_normal_1787_400.png,0
norm\A0196632X_20220823_normal_2333_100.png,0
norm\A0196632X_20220823_normal_2333_120.png,0
norm\A0196632X_20220823_normal_2333_140.png,0
norm\A0196632X_20220823_normal_2333_160.png,0
norm\A0196632X_20220823_normal_2333_180.png,0
norm\A0196632X_20220823_normal_2333_200.png,0
norm\A0196632X_20220823_normal_2333_220.png,0
norm\A0196632X_20220823_normal_2333_240.png,0
norm\A0196632X_20220823_normal_2333_260.png,0
norm\A0196632X_20220823_normal_2333_280.png,0
norm\A0196632X_20220823_normal_2333_300.png,0
norm\A0196632X_20220823_normal_2333_320.png,0
norm\A0196632X_20220823_normal_2333_340.png,0
norm\A0196632X_20220823_normal_2333_360.png,0
norm\A0196632X_20220823_normal_2333_380.png,0
norm\A0196632X_20220823_normal_2333_400.png,0
norm\A0196632X_20220823_normal_2333_420.png,0
norm\A0196632X_20220823_normal_2333_440.png,0
norm\A0197297H_20220904_normal_1115_100.png,0
norm\A0197297H_20220904_normal_1115_120.png,0
norm\A0197297H_20220904_normal_1115_140.png,0
norm\A0197297H_20220904_normal_1115_160.png,0
norm\A0197297H_20220904_normal_1115_180.png,0
norm\A0197297H_20220904_normal_1115_200.png,0
norm\A0197297H_20220904_normal_1115_220.png,0
norm\A0197297H_20220904_normal_1115_240.png,0
norm\A0197297H_20220904_normal_1115_260.png,0
norm\A0197297H_20220904_normal_1115_280.png,0
norm\A0197297H_20220904_normal_1115_300.png,0
norm\A0197297H_20220904_normal_1115_320.png,0
norm\A0197297H_20220904_normal_1115_80.png,0
norm\A0197297H_20220904_normal_1116_100.png,0
norm\A0197297H_20220904_normal_1116_120.png,0
norm\A0197297H_20220904_normal_1116_140.png,0
norm\A0197297H_20220904_normal_1116_160.png,0
norm\A0197297H_20220904_normal_1116_180.png,0
norm\A0197297H_20220904_normal_1116_80.png,0
norm\A0197297H_20220904_normal_1117_100.png,0
norm\A0197297H_20220904_normal_1117_120.png,0
norm\A0197297H_20220904_normal_1117_140.png,0
norm\A0197297H_20220904_normal_1117_160.png,0
norm\A0197297H_20220904_normal_1117_80.png,0
norm\A0197297H_20220904_normal_1118_100.png,0
norm\A0197297H_20220904_normal_1118_120.png,0
norm\A0197297H_20220904_normal_1118_140.png,0
norm\A0197297H_20220904_normal_1118_160.png,0
norm\A0197297H_20220904_normal_1118_180.png,0
norm\A0197297H_20220904_normal_1118_200.png,0
norm\A0197297H_20220904_normal_1118_220.png,0
norm\A0197297H_20220904_normal_1118_240.png,0
norm\A0197297H_20220904_normal_1118_260.png,0
norm\A0197297H_20220904_normal_1118_280.png,0
norm\A0197297H_20220904_normal_1118_300.png,0
norm\A0197297H_20220904_normal_1118_80.png,0
norm\A0199420B_20220822_normal_1234_100.png,0
norm\A0199420B_20220822_normal_1234_120.png,0
norm\A0199420B_20220822_normal_1234_140.png,0
norm\A0199420B_20220822_normal_1234_160.png,0
norm\A0199420B_20220822_normal_1234_180.png,0
norm\A0199420B_20220822_normal_1234_200.png,0
norm\A0199420B_20220822_normal_1234_220.png,0
norm\A0199420B_20220822_normal_1234_240.png,0
norm\A0199420B_20220822_normal_1234_260.png,0
norm\A0199420B_20220822_normal_1234_280.png,0
